Designator,Mid X,Mid Y,Layer,Rotation
J7,142.864999,-92.4488,top,0
J8,127.3556,-75.8444,top,90
C1,148.1836,-76.2886,top,90
C2,149.2504,-80.7212,top,-90
C5,133.4516,-79.5422,top,-90
C6,131.8108,-79.1972,top,0
C7,144.8922,-85.5472,top,0
C8,144.526,-87.0098,top,90
C11,153.99,-82.55,top,0
C12,153.736,-70.358,top,180
D5,148.2344,-66.124,top,-90
D6,151.13,-66.1748,top,-90
D11,151.9936,-73.7108,top,90
D12,155.3464,-79.0448,top,-90
D13,155.3464,-73.66,top,-90
D14,153.2128,-78.994,top,90
J1,142.2285,-60.5536,top,180
J2,142.2285,-63.5508,top,180
J3,142.2357,-66.4864,top,180
J4,135.2804,-66.4464,top,0
J5,136.8557,-61.8939,top,-90
J6,133.7457,-61.8789,top,90
R1,132.6428,-74.1172,top,180
R2,138.8872,-86.0552,top,-90
R3,137.2108,-73.8143,top,90
R4,137.2108,-78.0288,top,-90
U1,143.1196,-75.9172,top,0
U2,132.5372,-76.6572,top,0
U3,141.986,-86.2584,top,90
