Designator,Mid X,Mid Y,Layer,Rotation
C1,141.5008,-60.9904,bottom,0
C2,143.256,-73.5864,bottom,-90
C3,142.0876,-73.5584,bottom,-90
C27,118.872,-73.0732,bottom,90
C28,118.4936,-69.1896,bottom,180
C29,118.872,-70.838,bottom,-90
D4,142.4432,-68.9864,bottom,90
FB1,141.5796,-63.4644,bottom,-90
J3,130.0492,-75.1884,bottom,180
R22,143.4948,-63.9572,bottom,180
R23,143.4948,-64.8004,bottom,180
R24,141.5136,-59.9948,bottom,180
R25,120.305,-69.596,bottom,180
R27,143.4698,-63.1444,bottom,180
R28,142.3522,-75.0824,bottom,180
ANT1,137.322001,-51.616399,top,0
C4,136.7536,-75.3872,top,90
C5,128.6764,-49.3776,top,90
C6,133.6548,-50.1904,top,90
C7,128.6764,-46.1772,top,90
C8,130.3528,-45.8724,top,90
C9,143.1544,-72.911,top,-90
C10,148.2852,-64.77,top,90
C11,141.1376,-70.7644,top,180
C12,141.224,-65.4812,top,180
C13,123.444,-67.3608,top,0
C14,137.9728,-56.9468,top,0
C15,137.802001,-54.459599,top,0
C16,143.5714,-58.2676,top,180
C17,143.6624,-63.9572,top,0
C18,135.5344,-56.388,top,90
C19,114.7064,-54.4954,top,90
C20,119.6848,-55.2552,top,90
C21,117.4496,-50.9524,top,0
C22,117.602,-49.6824,top,0
C23,132.334,-45.1104,top,90
C24,134.5692,-50.1798,top,90
C25,138.2776,-47.511,top,-90
C26,136.464,-45.3136,top,180
C30,134.366,-56.388,top,-90
C31,135.5344,-54.4348,top,90
C32,134.366,-54.4348,top,90
C33,139.3952,-58.0872,top,90
C34,140.5636,-58.0872,top,90
C35,141.732,-58.0644,top,90
C36,140.1064,-64.0588,top,-90
C37,129.5908,-61.5696,top,180
D2,129.4892,-65.7352,top,-90
D3,120.8532,-67.2084,top,-90
J1,115.077,-62.6384,top,-90
J2,123.3932,-72.682798,top,180
J5,124.46,-52.6796,top,180
J6,124.7648,-49.3776,top,90
J7,121.666,-46.8249,top,-90
J9,128.8796,-52.7304,top,0
L1,137.5664,-55.692,top,90
L2,136.6012,-56.6776,top,-90
R1,128.1176,-66.1772,top,90
R3,120.559,-57.404,top,0
R4,120.584,-58.3692,top,0
R5,127.163,-81.3308,top,180
R6,145.034,-64.7192,top,180
R7,145.2478,-72.0344,top,180
R8,147.9296,-67.655,top,90
R9,137.668,-67.7058,top,90
R10,131.2164,-57.4548,top,0
R11,138.5824,-69.2298,top,90
R12,137.414,-69.6468,top,180
R13,137.7802,-72.2884,top,0
R14,136.7536,-67.7058,top,90
R15,131.2012,-56.5912,top,0
R16,132.2786,-55.7784,top,0
R17,132.268,-54.9148,top,0
R18,138.5824,-67.7058,top,90
R19,135.89,-67.7316,top,90
R20,137.7696,-71.4248,top,180
R21,133.7162,-81.28,top,0
R26,139.8524,-62.3316,top,0
SW1,127.264999,-78.748199,top,0
SW2,133.6298,-78.74,top,0
U2,144.9832,-68.4784,top,90
U3,131.3688,-48.8188,top,90
U4,124.46,-62.2768,top,-90
U5,117.3988,-53.8988,top,90
U6,135.2573,-47.564,top,180
U7,134.7216,-62.1284,top,-90
U8,133.1976,-72.6948,top,-90
XTAL2,141.1224,-68.1228,top,90
Y1,143.6624,-61.1632,top,90
