"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C16,C27,C7,C21,C11,C8,C4,C26,C22,C3";"C_0805_2012Metric";10;"1uF";;;
2;"Y1";"CRYSTAL_ABM8G_ABR";1;"ABM8G-40.000MHZ-18-D2Y-T";;;
3;"C32,C40,C37,C42,C14,C38,C44,C17,C15";"C_0805_2012Metric";9;"100nF";;;
4;"C43,C45";"C_0201_0603Metric";2;"18pF";;;
5;"C12,C9,C39,C36,C34";"C_0805_2012Metric";5;"2.2uF";;;
6;"R13,R5,R10,R14,R18,R16,R17,R12,R11";"R_0805_2012Metric";9;"10k";;;
7;"C31,C30";"C_0402_1005Metric";2;"22pF";;;
8;"ANT1";"U.FL-R-SMT-1";1;"U.FL-R-SMT-1";;;
9;"J42";"CUI_UJ31-CH-G2-SMT-TR";1;"UJ31-CH-G2-SMT-TR";;;
10;"R21,R26";"R_0805_2012Metric";2;"5.1K";;;
11;"C24,C20,C25,C2,C10,C19,C13";"C_0805_2012Metric";7;"10uF";;;
12;"FB1";"C_0805_2012Metric";1;"120R-3A";;;
13;"U3,U1";"SOT-23-5";2;"MCP73812T-420I-OT";;;
14;"H1,H2";"MountingHole_2.1mm";2;"MountingHole";;;
15;"R6,R8";"R_0805_2012Metric";2;"0k";;;
16;"J10";"AMPHENOL_F32R-1A7H1-11024";1;"F32R-1A7H1-11024";;;
17;"D2,D3,D8,D1,D5,D6,D4";"D_SOD-323F";7;"PMEG6010CEJ";;;
18;"R3,R20,R2,R19";"R_0805_2012Metric";4;"0";;;
19;"D7";"D_SMA";1;"B140-E3";;;
20;"R7,R9";"R_0805_2012Metric";2;"4.7k";;;
21;"D13,D9";"LED_0603_1608Metric";2;"LED";;;
22;"R25,R15";"R_0805_2012Metric";2;"100";;;
23;"L2,L1";"L_0402_1005Metric";2;"2nH";;;
24;"C29,C28";"C_0805_2012Metric";2;"0.1uF";;;
25;"TP1";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"COIL1";;;
26;"U4";"SOT-23-5";1;"MIC5504-3.3YM5";;;
27;"R4,R1";"R_0805_2012Metric";2;"2k";;;
28;"J7,J8";"CON_530470210_MOL";2;"530470210";;;
29;"U6";"SOT-23";1;"MCP1700x-280xxTT";;;
30;"C41";"C_0805_2012Metric";1;"10nF";;;
31;"R31";"R_0805_2012Metric";1;"499";;;
32;"C18";"C_0805_2012Metric";1;"4.7uF";;;
33;"TP2";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"COIL2";;;
34;"U8";"LGA28R50P4X10_380X520X100";1;"BNO055";;;
35;"C35,C33";"C_0402_1005Metric";2;"1.6pF";;;
36;"U11";"SOP8_208MIL_GDV";1;"GD25Q64CSIGR";;;
37;"U5";"SOT-23-5";1;"MIC5504-1.8YM5";;;
38;"SW2,SW1";"SW4_PTS815 SJM 250 SMTR LFS_CNK";2;"PTS815 SJM 250 SMTR LFS";;;
39;"C1";"C_0805_2012Metric";1;"6nF";;;
40;"XTAL1";"XTAL_ABS07-32.768KHZ-7-T_ABR";1;"ABS07-32.768KHZ-7-T";;;
41;"J1";"61300611121";1;"6130XX11121_61300611121";;;
42;"U9";"QFN56_7X7_EXP";1;"ESP32-S3";;;
