"Source:","/Users/rohankarunaratne/Documents/GitHub/Small_VineRobot_Electronics/Hardware/Gen2Dev/OuterBoard/2.1/OuterBoard_rev2.1/OuterBoard_rev2.1.kicad_sch"
"Date:","2024 November 29, Friday 15:46:36"
"Tool:","Eeschema 7.0.6-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","224"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","AVAILABILITY","Availability","BOM","Check_prices","DESCRIPTION","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","Mfr","Mfr P/N","Note","PACKAGE","PARTREV","PART_REV","PRICE","PURCHASE-URL","Package","Price","Purchase-URL","STANDARD","SnapEDA_Link","Supplier 1","Supplier 1 P/N"
"1","1","ANT1","U.FL-R-SMT-1","U.FL-R-SMT-1:U.FL-R-SMT-1","U.FL-R-SMT-1:U.FL-R-SMT-1","","","","In Stock","","https://www.snapeda.com/parts/U.FL-R-SMT-1/Hirose+Electric+Co+Ltd/view-part/?ref=eda","","U.FL-R-SMT(10) Hirose Electric RF Connectors U.FL 0Hz to 6GHz 50Ohm Solder ST SMD F Gold T/R - Arrow.com","","","Hirose Electric Co Ltd","U.FL-R-SMT-1","HRS(Hirose)","U.FL-R-SMT-1(80)","","","","","","","None","0.0805","https://www.lcsc.com/product-detail/Coaxial-Connectors-RF_HRS-Hirose-U-FL-R-SMT-1-80_C88374.html","","https://www.snapeda.com/parts/U.FL-R-SMT-1/Hirose+Electric+Co+Ltd/view-part/?ref=snap","LCSC","C88374"
"2","1","C1","6nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","","KEMET","C0805C562K4HACAUTO","","","","","","","","0.19000","https://www.digikey.com/en/products/detail/kemet/C0805C562K4HACAUTO/7959332","","","Digikey","399-C0805C562K4HACAUTOTR-ND"
"3","8","C2, C10, C13, C19, C20, C23, C24, C25","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","","Samsung Electro-Mechanics","CL21A106KAYNNNE","","","","","","","","0.15000","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KAYNNNE/3888549?s=N4IgTCBcDaIMIBkwEYCCyAMA2A0qgmgHLECiIAugL5A","","","Digikey","1276-2891-1-ND"
"4","10","C3, C4, C7, C8, C11, C16, C21, C22, C26, C27","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","","YAGEO","CC0201MRX5R6BB105","","","","","","","","0.16000","https://www.digikey.com/en/products/detail/yageo/CC0201MRX5R6BB105/7164358?s=N4IgTCBcDaIMJwAxkQRgLICUAaBWTAbAEJGqK4gC6AvkA","","","Digikey","311-3474-1-ND"
"5","1","C5","100nF","Device:C","Capacitor_SMD:C_0603_1608Metric","~","","","","","","","","","","","","YAGEO","CC0603KRX7R9BB104","","","","","","","","0.10000","https://www.digikey.com/en/products/detail/yageo/CC0603KRX7R9BB104/2103082?s=N4IgTCBcDaIMJwAwDZEGYDSAlAGgdiwE4AhYgRkQBYQBdAXyA","","","Digikey","311-1344-1-ND"
"6","1","C6","10uF","Device:C","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","","","","Würth Elektronik","860020672010","","","","","","","","0.10000","https://www.digikey.com/en/products/detail/würth-elektronik/860020672010/5727093","","","Digikey","732-8856-1-ND"
"7","5","C9, C12, C34, C36, C39","2.2uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","","YAGEO","CC0402KRX5R8BB225","","","","","","","","0.0286","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402KRX5R8BB225_C723363.html","","","LCSC","C723363"
"8","9","C14, C15, C17, C32, C37, C38, C40, C42, C44","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","","YAGEO","CC0402KRX7R7BB104","","","","","","","","0.0009","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402KRX7R7BB104_C60474.html","","","LCSC","C60474"
"9","1","C18","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","","Samsung Electro-Mechanics","CL05A475MQ5NRNC","","","","","","","","0.0028","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A475MQ5NRNC_C307423.html","","","LCSC","C307423"
"10","2","C28, C29","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","2","C30, C31","22pF","Device:C","Capacitor_SMD:C_0201_0603Metric","~","","","","","","","","","","","","YAGEO","CC0201JRNPO8BN220","","","","","","","","0.001","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0201JRNPO8BN220_C526934.html","","","LCSC","C526934"
