Ref,Val,Package,PosX,PosY,Rot,Side
"BAT/BUT1","Opened(2-3)/Soldered(1-2)","SJ_2_SMALL",-9.880387,52.004808,180.000000,bottom
"BUT1","T1107A(6x3,8x2,5MM)","T1107A(6x3,8x2,5MM)",5.700000,7.220247,0.000000,bottom
"C3","NA(47uF/6.3V/20%/X5R/C0805)","C_0805_5MIL_DWS",-24.544223,52.425815,180.000000,bottom
"C4","47uF/6.3V/20%/X5R/C0805","C_0805_5MIL_DWS",-24.544223,54.457815,180.000000,bottom
"C11","100nF/50V/20%/Y5V/C0603","C_0603_5MIL_DWS",20.119331,52.769420,-90.000000,bottom
"C23","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",-10.463458,31.894155,-90.000000,bottom
"C29","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",12.679500,34.509500,90.000000,bottom
"C30","100nF/50V/20%/Y5V/C0603","C_0603_5MIL_DWS",-9.851209,54.070267,0.000000,bottom
"C31","1uF/10V/10%/X5R/C0603","C_0603_5MIL_DWS",19.365000,13.012000,0.000000,bottom
"C32","1uF/10V/10%/X5R/C0603","C_0603_5MIL_DWS",11.509669,19.491330,0.000000,bottom
"D4","1N5822/SS34/SMA","SMA-KA",-20.237208,48.983834,0.000000,bottom
"D7","1N5819S4(SOD-123)","SOD-123_1C-2A_KA",-23.705983,44.360881,180.000000,bottom
"D8","1N5819S4(SOD-123)","SOD-123_1C-2A_KA",-23.720810,41.825523,0.000000,bottom
"D9","1N5819S4(SOD-123)","SOD-123_1C-2A_KA",-19.708657,29.744582,-90.000000,bottom
"D10","BAT54A(SOT23-3)","SOT23-3",16.786183,22.758278,90.000000,bottom
"FET1","WPM2015-3/TR","SOT23",-18.467459,53.046843,-90.000000,bottom
"FET3","WPM2015-3/TR","SOT23",20.012442,34.526181,90.000000,bottom
"FET4","BSS138","SOT23",5.679500,36.298500,180.000000,bottom
"L5","NA(FB0805/600R/2A)","L_0805_5MIL_DWS",22.729286,34.324101,-90.000000,bottom
"PHY_RST1","Opened","SJ",21.807717,37.557853,180.000000,bottom
"Q4","BC817-40(SOT23)","SOT23",-16.822317,29.729629,-90.000000,bottom
"Q5","BC817-40(SOT23)","SOT23",-13.393317,29.729629,-90.000000,bottom
"R7","2.2k/R0603","R_0603_5MIL_DWS",-14.153085,48.892526,0.000000,bottom
"R8","2k/1%/R0603","R_0603_5MIL_DWS",-14.153085,50.716204,0.000000,bottom
"R9","470k/R0603","R_0603_5MIL_DWS",-14.313181,56.113071,0.000000,bottom
"R10","470k/R0603","R_0603_5MIL_DWS",-9.851209,56.086692,0.000000,bottom
"R14","220R/R0603","R_0603_5MIL_DWS",19.352000,7.891000,0.000000,bottom
"R17","NA/R0603","R_0603_5MIL_DWS",-21.120376,53.170015,-90.000000,bottom
"R24","10k/R0603","R_0603_5MIL_DWS",19.561447,22.811438,90.000000,bottom
"R25","0R(board_mounted)","0R_0603",21.837005,52.853619,90.000000,bottom
"R35","10k/R0603","R_0603_5MIL_DWS",-22.583387,39.757596,0.000000,bottom
"R37","220R/R0603","R_0603_5MIL_DWS",-14.322317,33.329629,180.000000,bottom
"R44","NA/R0603","R_0603_5MIL_DWS",-15.322317,39.729629,0.000000,bottom
"R45","10k/R0603","R_0603_5MIL_DWS",11.731233,26.081279,0.000000,bottom
"R46","NA/R0603","R_0603_5MIL_DWS",16.923190,26.078387,0.000000,bottom
"R50","1k/R0603","R_0603_5MIL_DWS",8.579500,36.298500,-90.000000,bottom
"R51","10k/R0603","R_0603_5MIL_DWS",10.879500,34.520500,90.000000,bottom
"R52","100k/R0603","R_0603_5MIL_DWS",17.594501,19.435196,0.000000,bottom
"R58","49.9R/1%/R0402","R_0402_5MIL_DWS",14.529631,19.435196,180.000000,bottom
"RST1","T1107A(6x3,8x2,5MM)","T1107A(6x3,8x2,5MM)",5.700000,13.170000,180.000000,bottom
"U1","BL4054B-42TPRN(SOT23-5)","SOT-23-5",-14.419964,53.251561,180.000000,bottom
"U9","BAT54C(SOT23-3)","SOT23-3",-13.622317,36.529629,90.000000,bottom
"U10","BAT54C(SOT23-3)","SOT23-3",-17.167857,36.518329,90.000000,bottom
"U11","HX7027(SOT-23)","SOT-23",11.511956,22.744079,90.000000,bottom
"U12","2_3P针座","2_3PIN",5.479500,29.998500,0.000000,bottom
"U13","2_3P针座","2_3PIN",18.885500,29.998500,0.000000,bottom
