Ref,Val,Package,PosX,PosY,Rot,Side
"BAT1","DW02R","LIPO_BAT-CON2DW02R",-24.087941,59.680529,-90.000000,top
"C1","NA(47uF/6.3V/20%/X5R/C0805)","C_0805_5MIL_DWS",-10.225461,51.538483,0.000000,top
"C2","47uF/6.3V/20%/X5R/C0805","C_0805_5MIL_DWS",-10.225461,53.570483,0.000000,top
"C6","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",-15.235205,48.706278,90.000000,top
"C7","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",-13.225820,48.672507,90.000000,top
"C8","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",21.675000,32.921000,90.000000,top
"C9","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",20.151000,32.921000,90.000000,top
"C12","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",21.813694,40.181186,180.000000,top
"C13","100nF/50V/20%/Y5V/C0603","C_0603_5MIL_DWS",13.640709,32.944355,-90.000000,top
"C14","100nF/50V/20%/Y5V/C0603","C_0603_5MIL_DWS",21.002205,43.316178,90.000000,top
"C15","100nF/50V/20%/Y5V/C0603","C_0603_5MIL_DWS",9.610000,42.319000,180.000000,top
"C16","2.2uF/6.3V/10%/X5R/C0603","C_0603_5MIL_DWS",9.610000,37.112000,180.000000,top
"C17","100nF/50V/20%/Y5V/C0603","C_0603_5MIL_DWS",9.610000,38.636000,180.000000,top
"C18","1nF/50V/5%/NPO(COG)/C0603","C_0603_5MIL_DWS",21.929000,38.255000,180.000000,top
"C19","1nF/2000V/10%/X7R/C1206","C_1206_5MIL_DWS_ISO",23.353556,54.207628,-90.000000,top
"C20","NA(1nF/2000V/10%/X7R/C1206)","C_1206_5MIL_DWS_ISO",2.190000,54.945000,-90.000000,top
"C21","27pF/50V/5%/C0G/C0603","C_0603_5MIL_DWS",-20.438870,30.351110,-90.000000,top
"C22","27pF/50V/5%/C0G/C0603","C_0603_5MIL_DWS",-20.438870,35.462110,90.000000,top
"C24","100nF/50V/20%/Y5V/C0603","C_0603_5MIL_DWS",-14.556796,42.896673,90.000000,top
"C28","NA(470nF/16V/10%/X7R/C0603)","C_0603_5MIL_DWS",7.154111,32.984427,-90.000000,top
"CHARGE1","LED/Yellow/0603","LED_0603_KA",-5.253998,50.819863,0.000000,top
"CR1","Q50MHz/25ppm/3V/4P/5x3.2mm","5032-4P_HCX-3S",5.211000,40.275000,0.000000,top
