0:00:00.657606381 11038 0xaaaada93b300 WARN                     mpp gstmpp.c:121:gst_mpp_use_rga: RGA enabled
0:00:02.224199929 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x120000: 'AVR (Audio Visual Research)' is not mapped
0:00:02.224318640 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x180000: 'CAF (Apple Core Audio File)' is not mapped
0:00:02.224336433 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x100000: 'HTK (HMM Tool Kit)' is not mapped
0:00:02.224373184 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0xc0000: 'MAT4 (GNU Octave 2.0 / Matlab 4.2)' is not mapped
0:00:02.224390684 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0xd0000: 'MAT5 (GNU Octave 2.1 / Matlab 5.0)' is not mapped
0:00:02.224404393 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x210000: 'MPC (Akai MPC 2k)' is not mapped
0:00:02.224421310 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x230000: 'MPEG-1/2 Audio' is not mapped
0:00:02.224441727 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0xe0000: 'PVF (Portable Voice Format)' is not mapped
0:00:02.224462144 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x160000: 'SD2 (Sound Designer II)' is not mapped
0:00:02.224525438 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x190000: 'WVE (Psion Series 3)' is not mapped
0:00:04.518901897 11038 0xaaaada93b300 WARN                 default gstvaapi.c:231:plugin_init: Cannot create a VA display
0:00:05.135776957 11038 0xaaaada93b300 WARN               vadisplay gstvadisplay.c:316:gst_va_display_initialize:<vadisplaydrm0> vaInitialize: unknown libva error
0:00:05.139597893 11038 0xaaaada93b300 WARN               vadisplay gstvadisplay.c:316:gst_va_display_initialize:<vadisplaydrm1> vaInitialize: unknown libva error
0:00:05.207586911 11038 0xaaaada93b300 INFO          rtspclientsink gstrtspclientsink.c:453:gst_rtsp_client_sink_child_proxy_init: intializing child proxy interface
0:00:05.431230907 11038 0xaaaada93b300 WARN              cudaloader gstcudaloader.c:169:gst_cuda_load_library: Could not open library libcuda.so.1, libcuda.so.1: cannot open shared object file: No such file or directory
0:00:05.436084661 11038 0xaaaada93b300 WARN                 nvcodec plugin.c:94:plugin_init: Failed to load cuda library
0:00:08.452555284 11038 0xaaaada93b300 INFO                 x264enc gstx264enc.c:3123:x264_element_init: linked against x264 build: 164
0:00:08.452725039 11038 0xaaaada93b300 INFO                 x264enc gstx264enc.c:338:load_x264_libraries: 8-bit depth and 10-bit depth supported
0:00:09.976377111 11038 0xaaaada93b300 WARN                  ladspa gstladspa.c:509:plugin_init:<plugin270> no LADSPA plugins found, check LADSPA_PATH
0:00:12.027945575 11036     0x10a72a00 DEBUG        rtspmountpoints rtsp-mount-points.c:131:gst_rtsp_mount_points_init:<GstRTSPMountPoints@0x108172c0> created
0:00:12.033690105 11036     0x10a72a00 INFO         rtspmountpoints rtsp-mount-points.c:360:gst_rtsp_mount_points_add_factory: adding media factory 0x10c49bc0 for path /stream
0:00:12.034317205 11036     0x10a72a00 DEBUG             rtspserver rtsp-server.c:882:gst_rtsp_server_create_socket:<__main__+Server@0x10c339c0> getting address info of 0.0.0.0/8554
0:00:12.036384302 11036     0x10a72a00 DEBUG             rtspserver rtsp-server.c:967:gst_rtsp_server_create_socket:<__main__+Server@0x10c339c0> opened sending server socket
0:00:12.036623767 11036     0x10a72a00 DEBUG             rtspserver rtsp-server.c:994:gst_rtsp_server_create_socket:<__main__+Server@0x10c339c0> listening on server socket 0x10e8a130 with queue of 5
0:00:14.190218189 11036     0x10a72a00 INFO              rtspclient rtsp-client.c:4693:gst_rtsp_client_set_connection: client 0x10e8d150 connected to server ip 192.168.1.49, ipv6 = 0
0:00:14.190459987 11036     0x10a72a00 INFO              rtspclient rtsp-client.c:4697:gst_rtsp_client_set_connection: added new client 0x10e8d150 ip 192.168.1.48:41112
0:00:14.190561490 11036     0x10a72a00 DEBUG             rtspserver rtsp-server.c:1104:manage_client:<__main__+Server@0x10c339c0> manage client 0x10e8d150
0:00:14.190775287 11036     0x10a72a00 DEBUG         rtspthreadpool rtsp-thread-pool.c:469:default_get_thread:<GstRTSPThreadPool@0x109ed590> make new client thread
0:00:14.191146881 11036     0x10a72a00 DEBUG         rtspthreadpool rtsp-thread-pool.c:425:make_thread:<GstRTSPThreadPool@0x109ed590> new thread 0x10e8c090
0:00:14.192933971 11036     0x10a72a00 INFO              rtspclient rtsp-client.c:5349:gst_rtsp_client_attach: client 0x10e8d150: attaching to context 0x10e28200
0:00:14.193294480 11036     0x10a72a00 DEBUG             rtspclient rtsp-client.c:5364:gst_rtsp_client_attach: rtsp control setting up session timeout 0x10e22400.
0:00:14.193563113 11036     0x10e879e0 INFO          rtspthreadpool rtsp-thread-pool.c:329:do_loop: enter mainloop of thread 0x10e8c090
0:00:14.195505374 11036     0x10e879e0 INFO              rtspclient rtsp-client.c:4016:handle_request: client 0x10e8d150: received a request OPTIONS rtsp://192.168.1.49:8554/stream 1.0
0:00:14.203197707 11036     0x10e879e0 INFO              rtspclient rtsp-client.c:4016:handle_request: client 0x10e8d150: received a request DESCRIBE rtsp://192.168.1.49:8554/stream 1.0
0:00:14.204861127 11036     0x10e879e0 INFO         rtspmountpoints rtsp-mount-points.c:305:gst_rtsp_mount_points_match: found media factory 0x10c49bc0 for path /stream
0:00:14.206344583 11036     0x10e879e0 INFO            GST_PIPELINE gstparse.c:344:gst_parse_launch_full: parsing pipeline description '(v4l2src device=/dev/video0 io-mode=dmabuf ! video/x-raw,format=NV12,width=1280,height=720,framerate=20/1 ! videoconvert ! video/x-raw,format=NV12,width=1280,height=720 ! mpph264enc rc-mode=cbr bps=2000000 gop=20 ! h264parse config-interval=1 ! rtph264pay name=pay0 pt=96)'
