"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C11,C18,C16,C15,C14";"C_0402_5MIL_DWS";5;"100nF/16V/10%/X7R/C0402";;;
2;"R14,R15";"R_0402_5MIL_DWS";2;"2.2k/R0402";;;
3;"LNK1";"LED_0603_KA";1;"LED/GREEN/0603";;;
4;"ACT1";"LED_0603_KA";1;"LED/YELLOW/0603";;;
5;"DCDC1";"SIP-7_Universal";1;"F0505S-2WR2(SIP-7)";;;
6;"C27";"CPOL-RM2.5mm_6.3x11mm_PTH";1;"15uF/100V/20%/RM2.5/6.3x11mm(Farnell:1281844)";;;
7;"TVS1";"SOT-23-5";1;"ESDS314DBVR(SOT-23-5)";;;
8;"R28";"R_1206_5MIL_DWS";1;"0.03R/1%/R1206";;;
9;"L4";"IND_BOURNS_SRR1240";1;"33uH/2.1A/DCR=0.1R/20%/DBS135(PD3316MT330)";;;
10;"C26";"CPOL-RM2.5mm_6.3x11mm_PTH";1;"470uF/10V/20%/Low_ESR/RM2.5/6.0x11mm";;;
11;"C24,C12";"C_0603_5MIL_DWS";2;"100nF/100V/10%/X7R/C0603";;;
12;"D10";"SMA-KA";1;"SMAJ58A/SMA";;;
13;"R41";"R_2512_MM_DWS";1;"4.7k/R2512";;;
14;"J2";"BEL_SI-46020-F";1;"SI-46020-F";;;
15;"J3";"SAMTEC_HMTSW-102-X-X-S-X";1;"HMTSW-102-X-X-S-X";;;
16;"H2,H1";"MountingHole_2.1mm";2;"MountingHole";;;
17;"FID3,FID5,FID1,FID2";"Fiducial_0.5mm_Mask1.5mm";4;"Fiducial";;;
18;"J6,J4";"CONN_20021111-XX012XXLF_AMP";2;"20021111-00012T4LF";;;
19;"C19,C10,C9,C13";"C_0603_5MIL_DWS";4;"22uF/6.3V/20%/X5R/C0603";;;
20;"C2";"C_1206_5MIL_DWS_ISO";1;"1nF/2000V/10%/X7R/C1206";;;
21;"C20,C23";"C_1808(4520)_5MIL_DWS_ISO";2;"1.0nF/3kV/10%/X7R/SMD/1808(VISHAY-VJ1808Y102KBHAT4X_Farnell-2407291)";;;
22;"R3";"R_0402_5MIL_DWS";1;"1k/R0402";;;
23;"C21";"C_0603_5MIL_DWS";1;"NA(10uF/6.3V/20%/X5R/C0603)";;;
24;"C17";"C_0603_5MIL_DWS";1;"2.2uF/6.3V/10%/X5R/C0603";;;
25;"L1";"L_0805_5MIL_DWS";1;"FB0805/600R/2A";;;
26;"U4";"QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm";1;"LAN8710A-EZC(QFN32)";;;
27;"T1";"SOT23";1;"LMUN2211LT1G(SOT-23)";;;
28;"R12,R11,R10,R13";"R_0402_5MIL_DWS";4;"49.9R/1%/R0402";;;
29;"R2,R25,R44";"R_0402_5MIL_DWS";3;"10k/R0402";;;
30;"FET3";"SOT23";1;"WPM2015-3/TR";;;
31;"R26";"R_0402_5MIL_DWS";1;"12.1k/1%/R0402";;;
32;"TVS2,TVS3";"D_0402_5MIL_DWS";2;"NA(GG0402052R542P)";;;
33;"RM2,RM1";"R_MATRIX_4";2;"RA1206_(4X0603)_4B8_2.2k";;;
34;"D8";"DO214AA_1(K)-2(A)";1;"NA(SMBJ6.0A)";;;
35;"C25";"C_0402_5MIL_DWS";1;"12pF/50V/5%/COG/C0402";;;
36;"R22";"R_0402_5MIL_DWS";1;"24.9k/1%/R0402";;;
37;"R23";"R_0402_5MIL_DWS";1;"180k/1%/R0402";;;
38;"R27";"R_0402_5MIL_DWS";1;"4.42k/1%/1/16W/R0402";;;
39;"U2";"TSSOP-8_Pitch-0.65mm_Dimensions-4.40x3.00x1.20mm";1;"TPS2376PW(TSSOP-8)";;;
40;"R33";"R_0402_5MIL_DWS";1;"4.7R/R0402";;;
41;"D5";"DO214AB(SMC)_1(K)-2(A)";1;"SS510/100V/5A/0.85V/DO214AB(SMC)";;;
42;"R38";"R_0402_5MIL_DWS";1;"56.2k/1%/R0402";;;
43;"U5";"ESOIC-8";1;"TX4138(ESOIC-8)";;;
44;"R34";"R_0402_5MIL_DWS";1;"10.5k/1%/R0402";;;
45;"R43";"R_0402_5MIL_DWS";1;"130k/R0402";;;
