Reference,Value,Footprint,Datasheet,Mfr,Mfr P/N,Price,Purchase-URL,Supplier 1,Supplier 1 P/N,note,Qty
ACT1,LED/YELLOW/0603,OLIMEX_LEDs-FP:LED_0603_KA,,Everlight Elec,19-21/Y2C-CP1Q2B/4T,0.0328,https://www.lcsc.com/product-detail/span-style-background-color-ff0-LED-span-Indication-Discrete_Everlight-Elec-19-21-Y2C-CP1Q2B-4T_C2986008.html,LCSC,C2986008,,1
C2,1nF/2000V/10%/X7R/C1206,OLIMEX_RLC-FP:C_1206_5MIL_DWS_ISO,,YAGEO,CC1206MKX7RDBB102,0.0142,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC1206MKX7RDBB102_C527363.html,LCSC,C527363,,1
"C9, C10, C13, C19",22uF/6.3V/20%/X5R/C0603,OLIMEX_RLC-FP:C_0603_5MIL_DWS,,Samsung Electro-Mechanics,CL10A226MP8NUNE,0.0123,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10A226MP8NUNE_C86295.html,LCSC,C86295,,4
"C11, C14-C16, C18",100nF/16V/10%/X7R/C0402,OLIMEX_RLC-FP:C_0402_5MIL_DWS,,YAGEO,CC0402KRX7R7BB104,0.0009,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402KRX7R7BB104_C60474.html,LCSC,C60474,,5
"C12, C24",100nF/100V/10%/X7R/C0603,OLIMEX_RLC-FP:C_0603_5MIL_DWS,,YAGEO,CC0603KRX7R9BB104,0.002,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0603KRX7R9BB104_C14663.html,LCSC,C14663,,2
C17,2.2uF/6.3V/10%/X5R/C0603,OLIMEX_RLC-FP:C_0603_5MIL_DWS,,Samwha Capacitor,CS1608X5R225K100NRB,0.0047,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samwha-span-style-background-color-ff0-Capacitor-span-CS1608X5R225K100NRB_C5189830.html,LCSC,C5189830,,1
"C20, C23",1.0nF/3kV/10%/X7R/SMD/1808(VISHAY-VJ1808Y102KBHAT4X_Farnell-2407291),OLIMEX_RLC-FP:C_1808(4520)_5MIL_DWS_ISO,,"IHHEC(HOLY STONE ENTERPRISE CO., LTD)",SCC1808X102K502TS,0.1511,https://www.lcsc.com/product-detail/Safety-Capacitors_IHHEC-HOLY-STONE-ENTERPRISE-CO-LTD-SCC1808X102K502TS_C2939745.html,LCSC,C2939745,,2
C21,NA(10uF/6.3V/20%/X5R/C0603),OLIMEX_RLC-FP:C_0603_5MIL_DWS,,Samsung Electro-Mechanics,CL10A106MA8NRNC,0.0166,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10A106MA8NRNC_C96446.html,LCSC,C96446,,1
C25,12pF/50V/5%/COG/C0402,OLIMEX_RLC-FP:C_0402_5MIL_DWS,,Samsung Electro-Mechanics,CL05C120JB51PNC,0.0056,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05C120JB51PNC_C472446.html,LCSC,C472446,,1
C26,470uF/10V/20%/Low_ESR/RM2.5/6.0x11mm,OLIMEX_RLC-FP:CPOL-RM2.5mm_6.3x11mm_PTH,,CX(Dongguan Chengxing Elec),GR477M016E12RR0EH4FP0,0.0285,https://www.lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-Leaded_CX-Dongguan-Chengxing-Elec-GR477M016E12RR0EH4FP0_C3039776.html,LCSC,C3039776,,1
