"Reference","Value","Footprint","Datasheet","Mfr","Mfr P/N","Note","Supplier 1","Supplier 1 P/N","price","purchase url","Qty"
"BAT1","DW02S","OLIMEX_Connectors-FP:LIPO_BAT_VERTICAL_DW02S","","Diodes Incorporated","DF02S","","LCSC","C151398","0.2519","https://www.lcsc.com/product-detail/Bridge-Rectifiers_Diodes-Incorporated-DF02S_C151398.html","1"
"C1, C6, C7, C22","22uF/6.3V/20%/X5R/C0603","OLIMEX_RLC-FP:C_0603_5MIL_DWS","","Samsung Electro-Mechanics","CL10A226MQ8NRNC","","LCSC","C59461","0.0078","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.html","4"
"C3","47uF/6.3V/20%/X5R/C0805","OLIMEX_RLC-FP:C_0805_5MIL_DWS","","Samsung Electro-Mechanics","CL21A476MQYNNNE","","LCSC","C16780","0.0212","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A476MQYNNNE_C16780.html","1"
"C4, C5","27pF/50V/5%/C0G/C0402","OLIMEX_RLC-FP:C_0402_5MIL_DWS","","YAGEO","CC0402FRNPO9BN270","","LCSC","C277506","0.0031","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402FRNPO9BN270_C277506.html","2"
"C8, C29","100nF/16V/10%/X7R/C0402","OLIMEX_RLC-FP:C_0402_5MIL_DWS","","YAGEO","CC0402KRX7R7BB104","","LCSC","C60474","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402KRX7R7BB104_C60474.html","2"
"C28","1nF/50V/10%/X7R/C0402","OLIMEX_RLC-FP:C_0402_5MIL_DWS","","YAGEO","CC0402KRX7R9BB102","","LCSC","C106205","0.0008","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402KRX7R9BB102_C106205.html","1"
"C31","1uF/10V/20%/X5R/C0603","OLIMEX_RLC-FP:C_0603_5MIL_DWS","","Samsung Electro-Mechanics","CL10B105KP8NNNC","","LCSC","C95843","0.0046","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10B105KP8NNNC_C95843.html","1"
"CHRG1","LED/YELLOW/0603","OLIMEX_LEDs-FP:LED_0603_KA","","Amicc","A-SP192GW1D-D20-4T","","LCSC","C5179600","0.0205","https://www.lcsc.com/product-detail/span-style-background-color-ff0-LED-span-Indication-Discrete_Amicc-A-SP192GW1D-D20-4T_C5179603.html","1"
"D1, D3, D4, D6, D7, D9","1N5819S4/SOD123","OLIMEX_Diodes-FP:SOD-123_1C-2A_KA","","KUU","1N5819W S4","","LCSC","C2939006","0.0079","https://www.lcsc.com/product-detail/Schottky-Diodes_KUU-1N5819W-S4_C2939006.html","6"
"D2","BAT54C(SOT23-3)","OLIMEX_Diodes-FP:SOT23-3","","Slkor","BAT54C","","LCSC","C556168","0.0120","https://www.lcsc.com/product-detail/Schottky-Diodes_Slkor-SLKORMICRO-Elec-BAT54C_C556168.html","1"
