Designator,Mid X,Mid Y,Layer,Rotation
C4,7.2844,28.638,bottom,0
C5,11.0944,36.4104,bottom,-90
C6,-15.9312,48.2976,bottom,180
C8,9.6212,28.638,bottom,180
C28,11.3484,51.9552,bottom,0
C31,11.5008,58.0004,bottom,0
D2,-11.852,35.666,bottom,90
D4,-10.8004,56.2224,bottom,-90
D9,12.6184,55.9176,bottom,180
FET1,-14.7628,51.3964,bottom,90
FID4,-13.5944,55.8668,bottom,-90
FID5,-6.7872,27.2156,bottom,-90
J7,12.1358,44.1066,bottom,-90
R1,12.1612,30.5176,bottom,0
R4,14.3456,52.1584,bottom,180
R7,11.2976,53.2252,bottom,180
R9,16.5808,52.768,bottom,90
R16,17.1904,51.0408,bottom,0
R17,13.8884,32.956,bottom,90
R18,12.1612,31.8384,bottom,0
R19,15.3108,32.956,bottom,90
R24,-13.8992,34.2768,bottom,180
R29,12.1612,33.1592,bottom,0
R30,12.466,36.4104,bottom,-90
R32,14.3456,53.4284,bottom,180
R35,12.1612,34.48,bottom,180
R37,14.3964,50.8884,bottom,180
R40,10.7388,38.4424,bottom,90
R42,-11.41,38.9504,bottom,180
R47,-12.426,31.5336,bottom,180
R48,-12.426,32.956,bottom,0
RM3,15.3616,35.8516,bottom,0
U6,0.238,45.27,bottom,180
U7,-16.3376,38.6456,bottom,90
U8,-11.2576,50.8884,bottom,-90
BAT1,-19.29616,43.97325,top,-90
C1,-11.2576,37.0962,top,90
C3,-10.5464,56.5272,top,90
C7,7.1828,36.0548,top,0
C22,7.2082,49.3644,top,0
C29,-14.3056,50.99,top,90
CHRG1,-14.4707,35.7246,top,180
D1,-8.362,29.908,top,180
D3,1.8284,52.8696,top,0
D6,-5.0092,37.5076,top,90
D7,-6.7364,41.6428,top,0
FET2,7.32504,52.22444,top,180
FID1,-6.838,27.2156,top,-90
FID2,-13.5944,55.8668,top,-90
J1,0.4264,28.7556,top,0
J2,13.418701,44.0344,top,90
J5,-11.5878,44.1066,top,-90
L2,-7.9048,36.512,top,90
L3,-7.6508,32.3972,top,180
L5,-11.5624,53.276,top,0
PWR1,-13.6452,33.1084,top,-90
Q1,6.5096,39.2172,top,-90
Q2,0.7312,49.8724,top,180
Q3,5.6588,43.2684,top,0
R5,-11.3084,32.8036,top,0
R6,-11.3084,34.3276,top,180
R8,-13.0864,37.8328,top,90
R20,4.2872,50.3804,top,180
R21,3.322,48.5516,top,180
R31,-12.3752,51.498,top,0
R36,-4.044,45.656,top,90
R39,-12.3752,50.1772,top,0
R46,5.3032,46.9768,top,180
SW1,8.546201,31.366399,top,90
SW2,12.7708,33.972,top,90
U1,0.6804,37.5788,top,0
U3,-15.474,38.7472,top,90
UEXT1,-5.371149,49.7327,top,-90
