Ref,Val,Package,PosX,PosY,Rot,Side
"C4","27pF/50V/5%/C0G/C0402","C_0402_5MIL_DWS",7.284400,28.638000,0.000000,bottom
"C5","27pF/50V/5%/C0G/C0402","C_0402_5MIL_DWS",11.094400,36.410400,-90.000000,bottom
"C6","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",-15.931200,48.297600,180.000000,bottom
"C8","100nF/16V/10%/X7R/C0402","C_0402_5MIL_DWS",9.621200,28.638000,180.000000,bottom
"C28","1nF/50V/10%/X7R/C0402","C_0402_5MIL_DWS",11.348400,51.955200,0.000000,bottom
"C31","1uF/10V/20%/X5R/C0603","C_0603_5MIL_DWS",11.500800,58.000400,0.000000,bottom
"D2","BAT54C(SOT23-3)","SOT23-3",-11.852000,35.666000,90.000000,bottom
"D4","1N5819S4/SOD123","SOD-123_1C-2A_KA",-10.800400,56.222400,-90.000000,bottom
"D9","1N5819S4/SOD123","SOD-123_1C-2A_KA",12.618400,55.917600,180.000000,bottom
"FET1","WPM2015-3/TR","SOT23",-14.762800,51.396400,90.000000,bottom
"FID4","Fiducial","Fiducial1x3",-13.594400,55.866800,-90.000000,bottom
"FID5","Fiducial","Fiducial1x3",-6.787200,27.215600,-90.000000,bottom
"J7","20021311-00012T4LF","AMPHENOL_20021311-00012T4LF",12.135800,44.106600,-90.000000,bottom
"R1","10k/R0402","R_0402_5MIL_DWS",12.161200,30.517600,0.000000,bottom
"R4","47k/R0402","R_0402_5MIL_DWS",14.345600,52.158400,180.000000,bottom
"R7","470k/R0402","R_0402_5MIL_DWS",11.297600,53.225200,180.000000,bottom
"R9","100k/R0402","R_0402_5MIL_DWS",16.580800,52.768000,90.000000,bottom
"R16","470k/R0402","R_0402_5MIL_DWS",17.190400,51.040800,0.000000,bottom
"R17","NA/R0402","R_0402_5MIL_DWS",13.888400,32.956000,90.000000,bottom
"R18","10k/R0402","R_0402_5MIL_DWS",12.161200,31.838400,0.000000,bottom
"R19","10k/R0402","R_0402_5MIL_DWS",15.310800,32.956000,90.000000,bottom
"R24","220R/R0402","R_0402_5MIL_DWS",-13.899200,34.276800,180.000000,bottom
"R29","220k/R0402","R_0402_5MIL_DWS",12.161200,33.159200,0.000000,bottom
"R30","49.9k/1%/R0402","R_0402_5MIL_DWS",12.466000,36.410400,-90.000000,bottom
"R32","10k/R0402","R_0402_5MIL_DWS",14.345600,53.428400,180.000000,bottom
"R35","2.2k/R0402","R_0402_5MIL_DWS",12.161200,34.480000,180.000000,bottom
"R37","10k/R0402","R_0402_5MIL_DWS",14.396400,50.888400,180.000000,bottom
"R40","10R/R0402","R_0402_5MIL_DWS",10.738800,38.442400,90.000000,bottom
"R42","10R/R0402","R_0402_5MIL_DWS",-11.410000,38.950400,180.000000,bottom
"R47","10k/R0402","R_0402_5MIL_DWS",-12.426000,31.533600,180.000000,bottom
"R48","NA/R0402","R_0402_5MIL_DWS",-12.426000,32.956000,0.000000,bottom
"RM3","RA1206_(4X0603)_4B8_2.2k","R_MATRIX_4",15.361600,35.851600,0.000000,bottom
"U6","ESP32-WROVER-E","ESP32-WROVER(WROOM)-UNIVERSAL_MODULE",0.238000,45.270000,180.000000,bottom
"U7","SY8089AAAC(SOT23-5)","SOT-23-5",-16.337600,38.645600,90.000000,bottom
"U8","SN74LVC1G04DBVR(SOT23-5)","SOT-23-5",-11.257600,50.888400,-90.000000,bottom
"BAT1","DW02S","LIPO_BAT_VERTICAL_DW02S",-19.296160,43.973250,-90.000000,top
"C1","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",-11.257600,37.096200,90.000000,top
"C3","47uF/6.3V/20%/X5R/C0805","C_0805_5MIL_DWS",-10.546400,56.527200,90.000000,top
"C7","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",7.182800,36.054800,0.000000,top
"C22","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",7.208200,49.364400,0.000000,top
"C29","100nF/16V/10%/X7R/C0402","C_0402_5MIL_DWS",-14.305600,50.990000,90.000000,top
"CHRG1","LED/YELLOW/0603","LED_0603_KA",-14.470700,35.724600,180.000000,top
"D1","1N5819S4/SOD123","SOD-123_1C-2A_KA",-8.362000,29.908000,180.000000,top
"D3","1N5819S4/SOD123","SOD-123_1C-2A_KA",1.828400,52.869600,0.000000,top
"D6","1N5819S4/SOD123","SOD-123_1C-2A_KA",-5.009200,37.507600,90.000000,top
"D7","1N5819S4/SOD123","SOD-123_1C-2A_KA",-6.736400,41.642800,0.000000,top
"FET2","WPM2015-3/TR","SOT23",7.325040,52.224440,180.000000,top
