Designator,Mid X,Mid Y,Layer,Rotation
ANT1,137.5856,-83.3998,bottom,180
C3,120.89,-83.075,bottom,-90
C4,126.66,-80.35,bottom,-90
C7,128.55,-80.335,bottom,-90
C8,134.35,-79.97,bottom,-90
C9,152.32,-101.01,bottom,90
C10,121.2,-98.87,bottom,-90
C11,121.27,-95.69,bottom,-90
C13,125.875,-101.77,bottom,0
C15,152.43,-86.15,bottom,90
C16,122.54,-101.75,bottom,0
C17,141.285,-79.55,bottom,0
C18,137.17,-79.84,bottom,180
C19,148.505,-89.22,bottom,180
C20,147.4,-81.53,bottom,180
C21,148.52,-91.19,bottom,180
C22,147.445,-79.82,bottom,180
C24,150.55,-97.635,bottom,-90
C25,151.825,-89.19,bottom,180
C26,152.56,-97.645,bottom,-90
C27,151.825,-91.2,bottom,180
C34,125.22,-87.57,bottom,180
C36,125.205,-89.2,bottom,180
C37,135.11,-89.1,bottom,90
C39,134.34,-83.88,bottom,90
C40,127.64,-89.945,bottom,90
C41,127.35,-87.38,bottom,90
C43,131.255,-85.82,bottom,180
C45,131.25,-92.5,bottom,0
D7,147.6,-101.13,bottom,0
D9,146.0525,-97.91,bottom,0
D10,126.87,-83.8875,bottom,90
D11,129.7825,-84.21,bottom,0
F1,122.07,-87.57,bottom,-90
FB1,150.26,-86.35,bottom,-90
L1,137.5856,-87.3248,bottom,90
R1,123.02,-84.05,bottom,0
R2,142.41,-85.7,bottom,90
R3,141.34,-85.69,bottom,90
R4,132.33,-84.22,bottom,-90
R5,148.47,-87.28,bottom,90
R10,148,-84.17,bottom,-90
R11,142.44,-83.7,bottom,-90
R12,141.32,-83.68,bottom,-90
R15,148.7125,-97.85,bottom,0
R19,140.23,-85.69,bottom,90
R20,143.51,-85.7,bottom,90
U1,123.79,-80.91,bottom,-90
U3,131.54,-80.9,bottom,-90
U4,126.53,-97.1,bottom,90
U5,151.26,-94.09,bottom,0
U7,151.33,-82.6,bottom,0
U9,140.18,-93.27,bottom,-90
Y2,131.269,-89.1,bottom,0
C1,124.23,-84.68,top,90
C2,124.76,-87.77,top,90
C12,145.57,-96.62,top,180
C14,145.575,-98.35,top,180
C28,127.8404,-85.8902,top,90
C29,130.25,-91.64,top,180
C30,127.5438,-83.5294,top,90
C31,132.827,-83.5522,top,90
C32,135.85,-90.96,top,90
C38,132.307306,-94.644885,top,-90
C42,123.195,-94.27,top,0
C44,132.27,-97.83,top,90
D1,122.94,-92.22,top,0
D2,121.89,-87.0225,top,-90
D3,121.88,-83.4725,top,-90
D4,126.2,-95.7,top,-90
D5,125.68,-99.57,top,0
D6,122.9425,-89.97,top,0
D8,122.99,-96.91,top,-90
D13,128,-96.2875,top,-90
J6,134.65,-103.14,top,0
J10,149.575,-89.5,top,90
L2,139.625,-89.54,top,180
R6,144.54,-81.96,top,90
R7,144.56,-84.05,top,-90
R9,143.07,-83.76,top,-90
R13,140.51,-105.29,top,180
R14,142.58,-105.32,top,0
R16,126.24,-89.54,top,180
R17,128.26,-91.64,top,180
R18,133.8348,-91.9354,top,180
R22,126.37,-87.88,top,-90
R23,124.56,-97.41,top,-90
R25,128.82,-99.5,top,0
R31,131.01,-94.7,top,-90
SW1,149.4108,-102.5815,top,0
SW3,142.64,-102.56,top,0
U8,131.26,-88.0562,top,0
Y1,130.3,-83.77,top,180
