Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF","C_0402_1005Metric",119.862600,-84.988400,90.000000,bottom
"C3","1uF","C_0603_1608Metric",122.885200,-84.010800,-90.000000,bottom
"C4","1uF","C_0603_1608Metric",118.325600,-83.159600,180.000000,bottom
"C7","1uF","C_0603_1608Metric",121.183400,-84.010800,-90.000000,bottom
"C8","1uF","C_0603_1608Metric",115.099800,-83.159600,180.000000,bottom
"C10","10uF","C_0603_1608Metric",114.757200,-87.820800,-90.000000,bottom
"C11","1uF","C_0603_1608Metric",113.131600,-87.818000,-90.000000,bottom
"C12","2.2uF","C_0603_1608Metric",146.469400,-90.627200,180.000000,bottom
"C13","10uF","C_0603_1608Metric",120.802400,-87.871600,-90.000000,bottom
"C14","100nF","C_0603_1608Metric",148.424600,-92.481400,180.000000,bottom
"C16","1uF","C_0603_1608Metric",122.453400,-87.868800,-90.000000,bottom
"C19","10uF","C_0603_1608Metric",113.233200,-95.186800,-90.000000,bottom
"C20","10uF","C_0603_1608Metric",113.334800,-91.478400,-90.000000,bottom
"C21","1uF","C_0603_1608Metric",114.833400,-95.186800,-90.000000,bottom
"C22","1uF","C_0603_1608Metric",114.985800,-91.478400,-90.000000,bottom
"C24","10uF","C_0603_1608Metric",120.700800,-95.186800,-90.000000,bottom
"C25","10uF","C_0603_1608Metric",120.650000,-91.503800,-90.000000,bottom
"C26","1uF","C_0603_1608Metric",122.326400,-95.186800,-90.000000,bottom
"C27","1uF","C_0603_1608Metric",122.301000,-91.503800,-90.000000,bottom
"C38","100nF","C_0603_1608Metric",130.327400,-87.795400,-90.000000,bottom
"C44","100nF","C_0603_1608Metric",126.009400,-92.557600,-90.000000,bottom
"D6","PMEG6010CEJ","D_SOD-323F",120.954800,-80.500400,-90.000000,bottom
"D7","B140-E3","D_SMA",147.142200,-84.937600,180.000000,bottom
"D10","PMEG6010CEJ","D_SOD-323F",114.046000,-85.191600,0.000000,bottom
"D11","PMEG6010CEJ","D_SOD-323F",117.559000,-85.013800,0.000000,bottom
"D13","LED","LED_0603_1608Metric",112.445800,-80.492600,-90.000000,bottom
"F1","NANOSMDC110F-2","FUS_NANO_TYCO_TYC",114.503200,-100.152200,0.000000,bottom
"FB1","120R-3A","C_0805_2012Metric",146.923800,-88.163400,0.000000,bottom
"L2","2nH","L_0402_1005Metric",131.775200,-87.503000,90.000000,bottom
"R1","2k","R_0402_1005Metric",131.267200,-84.378800,90.000000,bottom
"R4","2k","R_0402_1005Metric",114.249200,-80.568800,-90.000000,bottom
"R5","10k","R_0402_1005Metric",148.232400,-94.183200,180.000000,bottom
"R25","1k","R_0402_1005Metric",112.903000,-83.161600,-90.000000,bottom
"U1","MCP73812T-420I-OT","SOT-23-5",127.934300,-83.601600,0.000000,bottom
"U2","GD25Q64CSIGR","SOP8_208MIL_GDV",131.800700,-93.548200,180.000000,bottom
"U3","MCP73812T-420I-OT","SOT-23-5",117.551200,-80.568800,180.000000,bottom
"U4","MIC5504-3.3YM5","SOT-23-5",117.774300,-87.843400,0.000000,bottom
"U5","MIC5504-1.8YM5","SOT-23-5",117.785300,-95.184000,0.000000,bottom
"U6","MCP1700x-280xxTT","SOT-23",117.807500,-91.526400,180.000000,bottom
