Comment,Designator,Footprint,JLCPCB Part #_optional_
DW02S,BAT1,OLIMEX_Connectors-FP:LIPO_BAT_VERTICAL_DW02S,C151398
22uF/6.3V/20%/X5R/C0603,"C1, C6, C7, C22",OLIMEX_RLC-FP:C_0603_5MIL_DWS,C59461
47uF/6.3V/20%/X5R/C0805,C3,OLIMEX_RLC-FP:C_0805_5MIL_DWS,C16780
27pF/50V/5%/C0G/C0402,"C4, C5",OLIMEX_RLC-FP:C_0402_5MIL_DWS,C277506
100nF/16V/10%/X7R/C0402,"C8, C29",OLIMEX_RLC-FP:C_0402_5MIL_DWS,C60474
1nF/50V/10%/X7R/C0402,C28,OLIMEX_RLC-FP:C_0402_5MIL_DWS,C106205
1uF/10V/20%/X5R/C0603,C31,OLIMEX_RLC-FP:C_0603_5MIL_DWS,C95843
LED/YELLOW/0603,CHRG1,OLIMEX_LEDs-FP:LED_0603_KA,C5179600
1N5819S4/SOD123,"D1, D3, D4, D6, D7, D9",OLIMEX_Diodes-FP:SOD-123_1C-2A_KA,C2939006
BAT54C(SOT23-3),D2,OLIMEX_Diodes-FP:SOT23-3,C556168
WPM2015-3/TR,"FET1, FET2",OLIMEX_Transistors-FP:SOT23,C6562215
USB_C_Receptacle,J1,Connector_USB:USB_C_Receptacle_Molex_105450-0101-L,C134092
20021311-00012T4LF,"J5, J7",20021311-00012T4LF:AMPHENOL_20021311-00012T4LF,C3319562
2.2uH/1.5A/DCR=72mR/20%/3.00x3.00x1.50mm/CD32(NR3015T2R2M),L2,OLIMEX_RLC-FP:CD32,C6364793
FB0805/600R/2A,"L3, L5",OLIMEX_RLC-FP:L_0805_5MIL_DWS,C2661781
LED/RED/0603,PWR1,OLIMEX_LEDs-FP:LED_0603_KA,C2760778
Q12MHz/20pF/10ppm/4P/3.2x2.5mm,Q1,OLIMEX_Crystal-FP:TSX-3.2x2.5mm_GND(3),C2901652
BC817-40(SOT23),"Q2, Q3",OLIMEX_Transistors-FP:SOT23,C52801
10k/R0402,"R1, R6, R18, R19, R32, R36, R37, R39",OLIMEX_RLC-FP:R_0402_5MIL_DWS,C60490
47k/R0402,R4,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C144710
2.2k/R0402,"R5, R8, R31, R35",OLIMEX_RLC-FP:R_0402_5MIL_DWS,C144718
470k/R0402,"R7, R16",OLIMEX_RLC-FP:R_0402_5MIL_DWS,C227380
100k/R0402,R9,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C60491
1k/R0402,"R20, R21",OLIMEX_RLC-FP:R_0402_5MIL_DWS,C106235
220R/R0402,"R24, R46",OLIMEX_RLC-FP:R_0402_5MIL_DWS,C100613
220k/R0402,R29,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C851925
49.9k/1%/R0402,R30,OLIMEX_RLC-FP:R_0402_5MIL_DWS,C851029
10R/R0402,"R40, R42",OLIMEX_RLC-FP:R_0402_5MIL_DWS,C138066
220R/R0402,R45,Resistor_SMD:R_0402_1005Metric,C100613
10k/R0402,R47,Resistor_SMD:R_0402_1005Metric,C60490
RA1206_(4X0603)_4B8_2.2k,RM3,OLIMEX_RLC-FP:R_MATRIX_4,C12001
PTS815 SJM 250 SMTR LFS,"SW1, SW2",SW4_PTS815 SJM 250 SMTR LFS_CNK,C411883
CH340T(SSOP20W),U1,OLIMEX_IC-FP:SSOP-20W,C8689
BL4054B-42TPRN(SOT23-5),U3,OLIMEX_IC-FP:SOT-23-5,C83783
ESP32-WROVER-E,U6,OLIMEX_Cases-FP:ESP32-WROVER(WROOM)-UNIVERSAL_MODULE,C2973667
SY8089AAAC(SOT23-5),U7,OLIMEX_Regulators-FP:SOT-23-5,C78988
SN74LVC1G04DBVR(SOT23-5),U8,OLIMEX_IC-FP:SOT-23-5,C7827
