"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C32,C40,C37,C42,C17,C15,C14,C38,C44";"C_0603_1608Metric";9;"100nF";;;
2;"J2,J1";"61300611121";2;"6130XX11121_61300611121";;;
3;"C43,C45";"C_0201_0603Metric";2;"18pF";;;
4;"R13,R14";"C_0402_1005Metric";2;"10k";;;
5;"C9,C39,C36,C34,C12";"C_0603_1608Metric";5;"2.2uF";;;
6;"C31,C30";"C_0402_1005Metric";2;"22pF";;;
7;"ANT1";"U.FL-R-SMT-1";1;"U.FL-R-SMT-1";;;
8;"J42";"CUI_UJ31-CH-G2-SMT-TR";1;"UJ31-CH-G2-SMT-TR";;;
9;"R21,R26";"R_0402_1005Metric";2;"5.1K";;;
10;"D8,D9,D13";"LED_0603_1608Metric";3;"LED";;;
11;"H1,H2";"MountingHole_2.1mm";2;"MountingHole";;;
12;"R6,R3,R20,R22,R2,R19";"R_0402_1005Metric";6;"0";;;
13;"J10";"AMPHENOL_F32R-1A7H1-11024";1;"F32R-1A7H1-11024";;;
14;"D2,D3,D1,D5,D4,D11,D10,D6";"D_SOD-323F";8;"PMEG6010CEJ";;;
15;"R7,R9";"R_0402_1005Metric";2;"4.7k";;;
16;"R8";"R_0805_2012Metric";1;"0k";;;
17;"C29,C28";"C_0402_1005Metric";2;"0.1uF";;;
18;"TP1";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"COIL1";;;
19;"J3,J4";"CON_530470210_MOL";2;"530470210";;;
20;"C41";"C_0402_1005Metric";1;"10nF";;;
21;"R31";"R_0402_1005Metric";1;"499";;;
22;"C18";"C_0603_1608Metric";1;"4.7uF";;;
23;"R10";"R_0805_2012Metric";1;"10k";;;
24;"TP2";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"COIL2";;;
25;"R18,R16,R17,R12,R11,R5";"R_0402_1005Metric";6;"10k";;;
26;"U8";"LGA28R50P4X10_380X520X100";1;"BNO055";;;
27;"L1";"L_0201_0603Metric";1;"2nH";;;
28;"R15,R23,R25";"R_0402_1005Metric";3;"1k";;;
29;"Y2";"CRYSTAL_ABM8G_ABR";1;"ABM8G-40.000MHZ-18-D2Y-T";;;
30;"C35,C33";"C_0402_1005Metric";2;"1.6pF";;;
31;"Y1";"XTAL_ABS07-32.768KHZ-7-T";1;"ABS07-32.768KHZ-7-T";;;
32;"C1";"C_0805_2012Metric";1;"6nF";;;
33;"SW3,SW1";"SW4_PTS815 SJM 250 SMTR LFS_CNK";2;"PTS815 SJM 250 SMTR LFS";;;
34;"U9";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"ESP32-S3";;;
35;"C16,C27,C7,C21,C11,C8,C4,C26,C22,C3";"C_0603_1608Metric";10;"1uF";;;
36;"U2";"SOP8_208MIL_GDV";1;"GD25Q64CSIGR";;;
37;"F1";"FUS_NANO_TYCO_TYC";1;"NANOSMDC110F-2";;;
38;"C24,C20,C25,C10,C19,C13";"C_0603_1608Metric";6;"10uF";;;
39;"FB1";"C_0805_2012Metric";1;"120R-3A";;;
40;"U3,U1";"SOT-23-5";2;"MCP73812T-420I-OT";;;
41;"D7";"D_SMA";1;"B140-E3";;;
42;"L2";"L_0402_1005Metric";1;"2nH";;;
43;"U4";"SOT-23-5";1;"MIC5504-3.3YM5";;;
44;"R4,R1";"R_0402_1005Metric";2;"2k";;;
45;"U6";"SOT-23";1;"MCP1700x-280xxTT";;;
46;"C2";"C_0402_1005Metric";1;"10uF";;;
47;"U5";"SOT-23-5";1;"MIC5504-1.8YM5";;;
