Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","U.FL-R-SMT-1","U.FL-R-SMT-1",137.585600,-83.399800,180.000000,bottom
"C3","1uF","C_0603_1608Metric",120.890000,-83.075000,-90.000000,bottom
"C4","1uF","C_0603_1608Metric",126.660000,-80.350000,-90.000000,bottom
"C7","1uF","C_0603_1608Metric",128.550000,-80.335000,-90.000000,bottom
"C8","1uF","C_0603_1608Metric",134.350000,-79.970000,-90.000000,bottom
"C9","2.2uF","C_0603_1608Metric",152.320000,-101.010000,90.000000,bottom
"C10","10uF","C_0603_1608Metric",121.200000,-98.870000,-90.000000,bottom
"C11","1uF","C_0603_1608Metric",121.270000,-95.690000,-90.000000,bottom
"C13","10uF","C_0603_1608Metric",125.875000,-101.770000,0.000000,bottom
"C15","100nF","C_0603_1608Metric",152.430000,-86.150000,90.000000,bottom
"C16","1uF","C_0603_1608Metric",122.540000,-101.750000,0.000000,bottom
"C17","100nF","C_0603_1608Metric",141.285000,-79.550000,0.000000,bottom
"C18","4.7uF","C_0603_1608Metric",137.170000,-79.840000,180.000000,bottom
"C19","10uF","C_0603_1608Metric",148.505000,-89.220000,180.000000,bottom
"C20","10uF","C_0603_1608Metric",147.400000,-81.530000,180.000000,bottom
"C21","1uF","C_0603_1608Metric",148.520000,-91.190000,180.000000,bottom
"C22","1uF","C_0603_1608Metric",147.445000,-79.820000,180.000000,bottom
"C24","10uF","C_0603_1608Metric",150.550000,-97.635000,-90.000000,bottom
"C25","10uF","C_0603_1608Metric",151.825000,-89.190000,180.000000,bottom
"C26","1uF","C_0603_1608Metric",152.560000,-97.645000,-90.000000,bottom
"C27","1uF","C_0603_1608Metric",151.825000,-91.200000,180.000000,bottom
"C33","1.6pF","C_0402_1005Metric",137.110000,-86.064800,180.000000,bottom
"C34","2.2uF","C_0603_1608Metric",125.220000,-87.570000,180.000000,bottom
"C35","1.6pF","C_0402_1005Metric",137.100000,-88.580000,180.000000,bottom
"C36","2.2uF","C_0603_1608Metric",125.205000,-89.200000,180.000000,bottom
"C37","100nF","C_0603_1608Metric",135.110000,-89.100000,90.000000,bottom
"C39","2.2uF","C_0603_1608Metric",134.340000,-83.880000,90.000000,bottom
"C40","100nF","C_0603_1608Metric",127.640000,-89.945000,90.000000,bottom
"C41","10nF","C_0402_1005Metric",127.350000,-87.380000,90.000000,bottom
"C43","18pF","C_0201_0603Metric",131.255000,-85.820000,180.000000,bottom
"C45","18pF","C_0201_0603Metric",131.250000,-92.500000,0.000000,bottom
"D7","B140-E3","D_SMA",147.600000,-101.130000,0.000000,bottom
"D9","LED","LED_0603_1608Metric",146.052500,-97.910000,0.000000,bottom
"D10","PMEG6010CEJ","D_SOD-323F",126.870000,-83.887500,90.000000,bottom
"D11","PMEG6010CEJ","D_SOD-323F",129.782500,-84.210000,0.000000,bottom
"F1","NANOSMDC110F-2","FUS_NANO_TYCO_TYC",122.070000,-87.570000,-90.000000,bottom
"FB1","120R-3A","C_0805_2012Metric",150.260000,-86.350000,-90.000000,bottom
"L1","2nH","L_0201_0603Metric",137.585600,-87.324800,90.000000,bottom
