Designator,Mid X,Mid Y,Rotation,Layer
BAT/BUT1,35.257336,21.008601,0,bottom
BUT1,19.676949,65.793162,180,bottom
C3,49.921172,20.587594,0,bottom
C4,49.921172,18.555594,0,bottom
C11,5.257618,20.243989,90,bottom
C23,35.840407,41.119254,90,bottom
C29,12.697449,38.503909,-90,bottom
C30,35.228158,18.943142,180,bottom
C31,6.011949,60.001409,180,bottom
C32,13.86728,53.522079,180,bottom
D4,45.614157,24.029575,180,bottom
D7,49.082932,28.652528,0,bottom
D8,49.097759,31.187886,180,bottom
D9,45.085606,43.268827,90,bottom
D10,8.603416,50.572011,-90,bottom
FET1,43.844408,19.966566,90,bottom
FET3,5.489412,37.12457,-90,bottom
FET4,19.697449,36.714909,0,bottom
L5,2.798976,37.379788,90,bottom
PHY_RST1,3.382269,33.552553,0,bottom
Q4,42.199266,43.28378,90,bottom
Q5,38.770266,43.28378,90,bottom
R7,39.530034,24.120883,180,bottom
R8,39.530034,22.297205,180,bottom
R9,39.69013,16.900338,180,bottom
R10,35.228158,16.926717,180,bottom
R14,6.024949,65.122409,180,bottom
R17,46.497325,19.843394,90,bottom
R24,5.815502,50.201971,-90,bottom
R25,3.539944,20.15979,-90,bottom
R35,47.960336,33.255813,180,bottom
R37,39.699266,39.68378,0,bottom
R44,40.699266,33.28378,180,bottom
R45,13.69099,47.343104,180,bottom
R46,8.499033,47.345996,180,bottom
R50,16.797449,36.714909,90,bottom
R51,14.497449,38.492909,-90,bottom
R52,7.782448,53.578213,180,bottom
R58,10.847318,53.578213,0,bottom
RST1,19.676949,59.843409,0,bottom
U1,39.796913,19.761848,0,bottom
U9,38.999266,36.48378,-90,bottom
U10,42.544806,36.49508,-90,bottom
U11,13.877643,50.58621,-90,bottom
U12,23.120158,44.455114,180,bottom
U13,9.922435,44.754035,180,bottom
BAT1,49.46489,13.33288,90,top
C1,35.60241,21.474926,180,top
C2,35.60241,19.442926,180,top
C6,40.612154,24.307131,-90,top
C7,38.602769,24.340902,-90,top
C8,3.701949,40.092409,-90,top
C9,5.225949,40.092409,-90,top
C12,3.563255,32.832223,0,top
C13,11.73624,40.069054,90,top
C14,4.374744,29.697231,-90,top
C15,15.766949,30.694409,0,top
C16,15.766949,35.901409,0,top
C17,15.766949,34.377409,0,top
C18,3.447949,34.758409,0,top
C19,2.023393,18.805781,90,top
C20,23.186949,18.068409,90,top
C21,45.815819,42.662299,90,top
C22,45.815819,37.551299,-90,top
C24,39.933745,30.116736,-90,top
C28,18.222838,40.028982,90,top
CHARGE1,30.630947,22.193546,180,top
CR1,20.165949,32.738409,180,top
D2,43.133382,17.895181,-90,top
D6,39.62118,18.047151,-90,top
FET2,35.703723,16.409249,0,top
L2,44.141242,24.205817,180,top
L3,1.329551,39.704844,-90,top
LAN1,12.471949,10.928409,0,top
PWR1,36.942983,13.53101,90,top
PWR2,44.097291,4.429099,0,top
PWRLED1,30.630947,20.75827,180,top
Q3,49.796775,40.642656,-90,top
R4,30.69187,18.976913,180,top
R19,51.421147,22.624005,90,top
R20,48.623046,19.514105,180,top
R26,15.739367,27.427345,0,top
R27,2.023393,9.144784,90,top
R28,11.321949,26.376409,0,top
R30,41.942948,11.799483,0,top
R31,13.226949,26.376409,180,top
R32,6.622949,26.376409,0,top
R33,8.527949,26.376409,180,top
R34,23.965949,32.738409,90,top
R36,15.865949,32.538409,180,top
R38,3.447949,36.282409,180,top
R39,15.766949,29.170409,0,top
R40,41.588532,30.116736,-90,top
R41,42.411787,44.574603,0,top
R42,38.719951,44.58943,180,top
R54,23.466949,49.903409,90,top
R57,23.965949,36.789409,-90,top
RM2,15.007838,40.082982,180,top
RM3,8.50403,40.088823,0,top
TVS1,9.924949,28.535409,0,top
U2,48.608877,22.775564,90,top
U3,12.346949,60.263409,0,top
U4,9.416949,34.123409,90,top
U5,40.35873,38.413458,0,top
U6,37.52889,27.5517,180,top
U7,50.726937,27.5517,180,top
U8,20.165949,36.738409,0,top
USB-UART1,29.982412,38.014736,180,top
