Ref,Val,Package,PosX,PosY,Rot,Side
"C6","0.1u","C_0402_1005Metric",134.550000,-101.250000,0.000000,bottom
"C13","0.1u","C_0402_1005Metric",150.950000,-91.250000,180.000000,bottom
"C14","4.7u","C_0402_1005Metric",150.950000,-93.750000,180.000000,bottom
"U2","FT231XQ","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",152.750000,-87.437500,-90.000000,bottom
"C1","4.7u","C_0402_1005Metric",124.650000,-108.920000,90.000000,top
"C2","0.1u","C_0402_1005Metric",123.250000,-109.120000,90.000000,top
"C3","1u","C_0402_1005Metric",123.650000,-111.000000,-90.000000,top
"C4","0.1u","C_0402_1005Metric",118.450000,-107.080000,90.000000,top
"C5","4.7u","C_0402_1005Metric",119.450000,-107.080000,90.000000,top
"C7","0.1u","C_0402_1005Metric",126.650000,-80.080000,90.000000,top
"C8","0.1u","C_0402_1005Metric",139.250000,-102.680000,90.000000,top
"C9","4.7u","C_0402_1005Metric",140.450000,-102.680000,90.000000,top
"C10","10u","C_0402_1005Metric",124.250000,-80.200000,90.000000,top
"C11","0.1u","C_0402_1005Metric",112.650000,-108.200000,-90.000000,top
"C12","1u","C_0402_1005Metric",117.250000,-106.200000,90.000000,top
"C15","1u","C_0402_1005Metric",122.050000,-80.280000,90.000000,top
"C16","0.1u","C_0402_1005Metric",142.050000,-66.400000,-90.000000,top
"C17","4.7u","C_0402_1005Metric",140.850000,-66.400000,-90.000000,top
"D1","D_TVS","D_SOD-523",151.450000,-93.160000,-90.000000,top
"D2","D_TVS","D_SOD-523",151.450000,-97.310000,90.000000,top
"D6","LED","LED_0805_2012Metric",160.687500,-109.250000,0.000000,top
"D7","LED","LED_0805_2012Metric",160.687500,-115.000000,0.000000,top
"J1","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",120.000000,-117.250000,180.000000,top
"J2","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",153.200000,-117.250000,180.000000,top
"J3","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4110",159.190000,-95.910000,90.000000,top
"J4","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",116.156000,-82.728000,90.000000,top
"J5","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",158.250000,-82.600000,-90.000000,top
"J6","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",131.050000,-117.250000,180.000000,top
"J7","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",142.200000,-117.250000,180.000000,top
"J8","Conn_01x04","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",116.156000,-70.504000,90.000000,top
"J9","Conn_01x04","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",158.250000,-70.600000,-90.000000,top
"J10","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4110",115.075000,-94.910000,-90.000000,top
"R1","1M","R_0402_1005Metric",119.050000,-87.400000,0.000000,top
"R2","10k","R_0402_1005Metric",118.650000,-80.000000,0.000000,top
"R3","10k","R_0402_1005Metric",154.850000,-86.000000,180.000000,top
"R4","10k","R_0402_1005Metric",122.837500,-101.250000,0.000000,top
"R5","10k","R_0402_1005Metric",126.337500,-101.250000,0.000000,top
"R6","5.1k","R_0402_1005Metric",153.250000,-98.290000,-90.000000,top
"R7","5.1k","R_0402_1005Metric",153.250000,-92.910000,90.000000,top
"R8","260","R_0402_1005Metric",160.650000,-107.600000,0.000000,top
"R9","5.1k","R_0402_1005Metric",121.050000,-91.600000,90.000000,top
"R10","5.1k","R_0402_1005Metric",120.650000,-98.400000,-90.000000,top
"R11","2k","R_0402_1005Metric",160.740000,-113.400000,0.000000,top
"R12","10k","R_0402_1005Metric",147.850000,-96.510000,90.000000,top
"R13","10k","R_0402_1005Metric",126.650000,-82.400000,-90.000000,top
"R14","3.3k","R_0402_1005Metric",143.050000,-99.400000,90.000000,top
"R15","3.3k","R_0402_1005Metric",144.450000,-99.400000,90.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P",127.750000,-68.800000,180.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P",146.950000,-68.800000,0.000000,top
"U1","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1_EXP",137.350000,-84.640000,0.000000,top
"U3","TPS2116DRL","SOT-583-8",121.110000,-110.000000,180.000000,top
"U4","TCR2EF33_LMCT","SOT-25   SMV_TOS",115.450000,-108.800000,0.000000,top
"U5","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",134.575000,-107.000000,90.000000,top
"U6","FM24CL16B","SOIC-8_3.9x4.9mm_P1.27mm",136.450000,-67.895000,0.000000,top
"U7","USBLC6-2SC6","SOT-23-6",123.987500,-95.200000,180.000000,top
