Ref,Val,Package,PosX,PosY,Rot,Side
"C6","0.1u","C_0805_2012Metric",134.550000,-101.250000,0.000000,bottom
"C13","0.1u","C_0805_2012Metric",150.950000,-91.250000,180.000000,bottom
"C14","4.7u","C_0805_2012Metric",150.950000,-93.750000,180.000000,bottom
"U2","FT231XQ","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",152.750000,-87.437500,-90.000000,bottom
"C1","4.7u","C_0805_2012Metric",126.600000,-108.050000,90.000000,top
"C2","0.1u","C_0805_2012Metric",124.350000,-108.100000,90.000000,top
"C3","1u","C_0805_2012Metric",124.350000,-111.850000,-90.000000,top
"C4","0.1u","C_0805_2012Metric",118.500000,-106.600000,90.000000,top
"C5","4.7u","C_0805_2012Metric",120.750000,-106.600000,90.000000,top
"C7","0.1u","C_0805_2012Metric",125.750000,-80.450000,90.000000,top
"C8","0.1u","C_0805_2012Metric",139.950000,-102.050000,90.000000,top
"C9","4.7u","C_0805_2012Metric",142.450000,-102.050000,90.000000,top
"C10","10u","C_0805_2012Metric",123.500000,-80.450000,90.000000,top
"C11","0.1u","C_0805_2012Metric",111.400000,-108.200000,-90.000000,top
"C12","1u","C_0805_2012Metric",116.000000,-105.000000,90.000000,top
"C15","1u","C_0805_2012Metric",121.250000,-80.450000,90.000000,top
"D1","D_TVS","D_SOD-523",153.390000,-93.160000,-90.000000,top
"D2","D_TVS","D_SOD-523",153.390000,-97.310000,90.000000,top
"D3","D_TVS","D_SOD-523",121.750000,-97.000000,90.000000,top
"D4","D_TVS","D_SOD-523",121.325000,-93.160000,-90.000000,top
"D5","D_TVS","D_0201_0603Metric_Pad0.64x0.40mm_HandSolder",118.500000,-98.182500,-90.000000,top
"D6","LED","LED_0805_2012Metric",160.687500,-109.250000,0.000000,top
"D7","LED","LED_0805_2012Metric",160.687500,-115.000000,0.000000,top
"J1","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",120.000000,-117.250000,180.000000,top
"J2","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",153.200000,-117.250000,180.000000,top
"J3","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4110",161.390000,-95.610000,90.000000,top
"J4","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",114.000000,-82.650000,90.000000,top
"J5","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",160.500000,-83.400000,-90.000000,top
"J6","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",131.050000,-117.250000,180.000000,top
"J7","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",142.200000,-117.250000,180.000000,top
"J8","Conn_01x04","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",114.000000,-70.600000,90.000000,top
"J9","Conn_01x04","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",160.500000,-71.400000,-90.000000,top
"J10","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4110",113.325000,-94.860000,-90.000000,top
"J11","Conn_02x12_Odd_Even","PinSocket_2x12_P1.00mm_Vertical_SMD",137.750000,-66.525000,90.000000,top
"R1","1M","R_0805_2012Metric",119.912500,-89.000000,0.000000,top
"R2","10k","R_0805_2012Metric",117.500000,-79.250000,0.000000,top
"R3","10k","R_0805_2012Metric",157.000000,-86.750000,180.000000,top
"R4","10k","R_0805_2012Metric",122.837500,-101.250000,0.000000,top
"R5","10k","R_0805_2012Metric",126.337500,-101.250000,0.000000,top
"R6","5.1k","R_0805_2012Metric",155.390000,-98.272500,-90.000000,top
"R7","5.1k","R_0805_2012Metric",155.390000,-92.360000,90.000000,top
"R8","260","R_0805_2012Metric",160.662500,-106.750000,0.000000,top
"R9","5.1k","R_0805_2012Metric",119.325000,-92.110000,90.000000,top
"R10","5.1k","R_0805_2012Metric",120.000000,-98.022500,-90.000000,top
"R11","2k","R_0805_2012Metric",160.750000,-112.750000,0.000000,top
"R12","10k","R_0805_2012Metric",147.750000,-99.000000,180.000000,top
"R13","10k","R_0805_2012Metric",125.750000,-76.000000,0.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P",124.300000,-62.750000,0.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P",150.500000,-62.250000,180.000000,top
"U1","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1_EXP",137.350000,-84.640000,0.000000,top
"U3","TPS2116DRL","SOT-583-8",121.110000,-110.000000,180.000000,top
"U4","TCR2EF33_LMCT","SOT-25   SMV_TOS",114.855600,-108.649999,0.000000,top
"U5","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",134.575000,-107.000000,90.000000,top
