Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0402_1005Metric",166.000000,-51.480000,90.000000,top
"C2","22u","CAP_EEETG2A220UP",165.600000,-60.350000,-90.000000,top
"C3","22u","CAP_EEETG2A220UP",156.200000,-60.350000,-90.000000,top
"C4","100u","CAP_EEEFK1J101P",145.600000,-60.250000,-90.000000,top
"C5","10n","C_0402_1005Metric",176.200000,-45.800000,90.000000,top
"C6","4.7n","C_0402_1005Metric",174.000000,-45.800000,-90.000000,top
"C7","22u","C_0805_2012Metric",181.650000,-55.800000,180.000000,top
"C8","4.7u","C_0402_1005Metric",176.250000,-51.500000,90.000000,top
"C9","2.2u","C_0402_1005Metric",170.800000,-47.600000,0.000000,top
"C10","10u","C_0402_1005Metric",173.600000,-38.880000,-90.000000,top
"C11","10u","C_0402_1005Metric",186.200000,-38.920000,90.000000,top
"C13","15nF","C_0402_1005Metric",149.080000,-42.800000,0.000000,top
"C14","0.1u","C_0402_1005Metric",155.400000,-46.000000,-90.000000,top
"C15","1u","C_0402_1005Metric",168.800000,-46.000000,90.000000,top
"C16","22u","C_0805_2012Metric",181.600000,-53.600000,180.000000,top
"C17","22u","C_0805_2012Metric",181.600000,-51.400000,180.000000,top
"C18","100u","CP_Radial_D5.0mm_P2.00mm",184.400000,-48.800000,90.000000,top
"C19","1u","C_0402_1005Metric",144.650001,-34.593400,-90.000000,top
"C20","10n","C_0402_1005Metric",144.920000,-40.600000,0.000000,top
"C21","10u","C_0402_1005Metric",145.950001,-44.593400,180.000000,top
"C22","4.7u","C_0805_2012Metric",158.200000,-46.350000,-90.000000,top
"C26","10u","C_0402_1005Metric",147.450001,-34.843400,0.000000,top
"D6","LED","LED_0805_2012Metric",145.517500,-49.600000,0.000000,top
"J1","Conn_01x02_Pin","AMASS_XT30U-M_1x02_P5.0mm_Vertical",155.600000,-38.400000,90.000000,top
"J2","Conn_01x02_Pin","AMASS_XT30U-M_1x02_P5.0mm_Vertical",162.000000,-38.400000,90.000000,top
"J9","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",188.900000,-54.200000,-90.000000,top
"J11","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",189.100000,-42.520000,-90.000000,top
"L1","27u","INDM134126X600N",177.960000,-63.500000,0.000000,top
"L2","12u","IND_BOURNS_CC453232",182.650000,-39.024201,-90.000000,top
"L3","39u","L_0805_2012Metric",147.000000,-41.862500,-90.000000,top
"R1","2","R_0402_1005Metric",170.000000,-46.000000,-90.000000,top
"R2","523","R_0402_1005Metric",175.000000,-45.800000,90.000000,top
"R3","2","R_0402_1005Metric",167.600000,-46.000000,-90.000000,top
"R4","10k","R_0402_1005Metric",172.800000,-45.800000,-90.000000,top
"R5","1.42k","R_0402_1005Metric",165.000000,-50.400000,90.000000,top
"R6","150k","R_0402_1005Metric",178.600000,-46.800000,-90.000000,top
"R7","112k","R_0402_1005Metric",177.400000,-45.710000,90.000000,top
"R8","72k","R_0402_1005Metric",171.200000,-40.910000,90.000000,top
"R9","27k","R_0402_1005Metric",171.200000,-39.000000,90.000000,top
"R10","10k","R_0402_1005Metric",139.200000,-48.200000,-90.000000,top
"R11","9k","R_0402_1005Metric",146.090000,-51.400000,180.000000,top
"R12","680","R_0402_1005Metric",145.690000,-47.800000,0.000000,top
"R13","24k","R_0402_1005Metric",135.690000,-57.400000,180.000000,top
"SW1","SW_Push","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",137.100000,-51.600000,90.000000,top
"TP1","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",135.600000,-60.200000,0.000000,top
"TP2","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",135.600000,-64.400000,0.000000,top
"U1","MIC28514T-E_PHA","CONV_MIC28514T-E_PHA",171.500000,-52.000000,0.000000,top
"U2","ADP2370ACPZ-3.3-R7","CP_8_5_ADI",177.997000,-39.870000,0.000000,top
"U3","TPS16530PWPR","PWP0020T_TEX",150.925049,-47.679000,-90.000000,top
"U4","MAX17501FATB+T","21-0429_T1032N&plus_1_MXM",145.600000,-38.196700,-90.000000,top
